brand,model,type,strings,frets,price,mensuration,body,colour,descr,img
Cort,EVL-K4,Stratocaster,6,22,17.830,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/274.html,C:/Users/user/ct/da/lab1-parser/imgs/274.jpg
Jackson,"JS22 SC, AH FB Satin Black",Les Paul,6,22,53.000,24.7,нато,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/275.html,C:/Users/user/ct/da/lab1-parser/imgs/275.jpg
Schecter,C-7 APOCALYPSE RED REIGN,Stratocaster,7,24,103.500,26.5,болотный ясень,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/276.html,C:/Users/user/ct/da/lab1-parser/imgs/276.jpg
Ibanez,GRX70QA-TRB,Stratocaster,6,21,25.800,255.197,тополь,transparent red burst красный санберст,C:/Users/user/ct/da/lab1-parser/descrs/277.html,C:/Users/user/ct/da/lab1-parser/imgs/277.jpg
Epiphone,SG-Special VE Ebony,SG,6,22,41.000,25.5,тополь  шпон красного дерева,vintage sunburst  винтажный санберст,C:/Users/user/ct/da/lab1-parser/descrs/278.html,C:/Users/user/ct/da/lab1-parser/imgs/278.jpg
Ibanez,GRX20-JB JEWEL BLUE,Stratocaster,6,22,21.700,25.5,тополь,черный,C:/Users/user/ct/da/lab1-parser/descrs/279.html,C:/Users/user/ct/da/lab1-parser/imgs/279.jpg
Jackson,"JS11 DK, AH FB, 22 Fr BLK",Stratocaster,6,22,39.000,25.5,тополь,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/280.html,C:/Users/user/ct/da/lab1-parser/imgs/280.jpg
Ibanez,GIO GSA60 BS,Stratocaster,6,22,28.500,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/281.html,C:/Users/user/ct/da/lab1-parser/imgs/281.jpg
Ibanez,GIO GSA60-WNF WALNUT FLAT,Stratocaster,6,22,27.200,25.5,агатис,орех,C:/Users/user/ct/da/lab1-parser/descrs/282.html,C:/Users/user/ct/da/lab1-parser/imgs/282.jpg
Jackson,"JS22-7 DKA, AH FB - HT STN BLK",Superstrat,7,22,55.000,25.5,тополь,черный,C:/Users/user/ct/da/lab1-parser/descrs/283.html,C:/Users/user/ct/da/lab1-parser/imgs/283.jpg
Jackson,"JS32 RR, AH FB BLACK W/WHITE BEVELS",Rhoads,6,22,101.000,25.5,тополь,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/284.html,C:/Users/user/ct/da/lab1-parser/imgs/284.jpg
Gibson,Les Paul Classic Ebony,Les Paul,6,22,447.000,25.5,красное дерево,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/285.html,C:/Users/user/ct/da/lab1-parser/imgs/285.jpg
Ibanez,IJRX20U-BL,Stratocaster,6,22,43.000,25.5,тополь,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/286.html,C:/Users/user/ct/da/lab1-parser/imgs/286.jpg
Ibanez,RG421 MOL MAHOGANY OIL,Modern stat,6,22,44.000,25.5,красное дерево,натуральный,C:/Users/user/ct/da/lab1-parser/descrs/287.html,C:/Users/user/ct/da/lab1-parser/imgs/287.jpg
EPIPHONE,SLASH AFD LES PAUL SPECIAL-II OUTFIT,Les Paul,6,22,56.000,24.7,махагони с верхом из шпона волнистого клёна категории aaa,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/288.html,C:/Users/user/ct/da/lab1-parser/imgs/288.jpg
Dean,ML 79 F TBZ,Explorer,6,22,139.086,25.5,красное дерево с топом из огненного клёна,натуральный санберст,C:/Users/user/ct/da/lab1-parser/descrs/289.html,C:/Users/user/ct/da/lab1-parser/imgs/289.jpg
Ibanez,RG421EX-BKF,Stratocaster,6,24,49.000,25.5,махагони,матовый чёрный,C:/Users/user/ct/da/lab1-parser/descrs/290.html,C:/Users/user/ct/da/lab1-parser/imgs/290.jpg
Gibson,Les Paul Standard 60s Bourbon Burst,Les Paul,6,22,525.000,25.5,махагони,санберст,C:/Users/user/ct/da/lab1-parser/descrs/291.html,C:/Users/user/ct/da/lab1-parser/imgs/291.jpg
Yamaha,PACIFICA 012 WH,Stratocaster,6,22,27.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/292.html,C:/Users/user/ct/da/lab1-parser/imgs/292.jpg
CARAYA,E232FTGR,Les Paul,6,22,18.780,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/293.html,C:/Users/user/ct/da/lab1-parser/imgs/293.jpg
Ibanez,GIO GSA60 BLACK NIGHT,Stratocaster,6,22,27.200,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/294.html,C:/Users/user/ct/da/lab1-parser/imgs/294.jpg
EPIPHONE,Les Paul Studio E1 Heritage Cherry Sunburst,Les Paul studio,6,22,58.000,24.7,красное дерево,санберст,C:/Users/user/ct/da/lab1-parser/descrs/295.html,C:/Users/user/ct/da/lab1-parser/imgs/295.jpg
Epiphone,LES PAUL STUDIO LT Ebony,Les Paul studio,6,22,58.000,24.7,красное дерево,санберст,C:/Users/user/ct/da/lab1-parser/descrs/296.html,C:/Users/user/ct/da/lab1-parser/imgs/296.jpg
